,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
10,Virginia,11,,1350.0,1300.0,1350.0,1400.0,1495.0,1550.0,1450.0,1375.0,1297.5,1325.0,1399.0,1350.0,1350.0,1395.0,1450.0,1500.0,1500.0,1500.0,1495.0,1447.0,1400.0,1375.0,1350.0,1350.0,1350.0,1400.0,1400.0,1450.0,1500.0,1495.0,1475.0,1425.0,1400.0,1400.0,1400.0,1400.0,1438.0,1495.0,1495.0,1500.0,1550.0,1595.0,1575.0,1550.0,1500.0,1495.0,1500.0,1475.0,1450.0,1450.0,1495.0,1600.0,1600.0,1650.0,1650.0,1600.0,1595.0,1595.0,1550.0,1550.0,1550.0,1550.0,1595.0,1625.0,1650.0,1650.0,1650.0,1600.0,1595.0,1575.0,1550.0,1500.0,1500.0,1550.0,1600.0,1650.0,1625.0,1700.0,1675.0,1595.0,1600.0,1575,1525.0,1550.0,1500.0,1540.0,1600.0,1650.0,1695.0,1700.0,1650.0,1600.0,1595.0,1595.0,1595,1550.0,1585.0,1600,1650.0,1700.0,1750.0,1795,1750.0,1700.0,1675,1675.0,1650,1600.0,1625,1695,1749,1800.0,1800.0,1800.0,1750,1750,1695.0,1675.0,1650
11,Washington,12,,1300.0,1395.0,1400.0,1437.5,1490.0,1550.0,1600.0,1595.0,1550.0,1500.0,1495.0,1425.0,1400.0,1450.0,1450.0,1495.0,1500.0,1495.0,1450.0,1400.0,1395.0,1375.0,1350.0,1350.0,1350.0,1375.0,1399.0,1395.0,1395.0,1400.0,1399.0,1395.0,1389.5,1350.0,1350.0,1325.0,1325.0,1350.0,1395.0,1450.0,1450.0,1450.0,1495.0,1475.0,1490.0,1495.0,1495.0,1475.5,1450.0,1450.0,1450.0,1495.0,1500.0,1500.0,1550.0,1550.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1595.0,1595.0,1600.0,1650.0,1600.0,1600.0,1600.0,1600.0,1600.0,1646.0,1625.0,1635.0,1650.0,1695.0,1750.0,1750.0,1750.0,1729.0,1700,1695.0,1795.0,1800.0,1850.0,1947.0,1985.0,2095.0,2100.0,2100.0,2095.0,1995.0,1995.0,1975,1995.0,1995.0,1995,2050.0,2100.0,2185.0,2195,2150.0,2095.0,2000,1995.0,1995,1995.0,1995,2000,2100,2195.0,2195.0,2195.0,2150,2095,2000.0,2000.0,2000
12,Massachusetts,13,,,1490.0,1552.5,1600.0,1600.0,1550.0,1600.0,1530.0,1530.0,1587.5,1695.0,1800.0,1787.5,1700.0,1900.0,2000.0,2000.0,2000.0,1925.0,1900.0,1800.0,1800.0,1800.0,1850.0,1900.0,1999.0,2000.0,2100.0,2200.0,2200.0,2000.0,2023.0,2000.0,2000.0,2000.0,2100.0,2107.0,2100.0,2160.0,2250.0,2345.0,2395.0,2375.0,2295.0,2250.0,2200.0,2225.0,2300.0,2250.0,2250.0,2300.0,2625.0,2600.0,2500.0,2400.0,2300.0,2200.0,2200.0,2300.0,2450.0,2500.0,2596.0,2600.0,2600.0,2600.0,2550.0,2500.0,2400.0,2300.0,2310.0,2450.0,2500.0,2687.0,2700.0,2700.0,2670.0,2723.0,2600.0,2600.0,2450.0,2400.0,2350,2340.0,2500.0,2600.0,2700.0,2799.0,2800.0,2800.0,2794.5,2650.0,2595.0,2500.0,2500.0,2575,2677.5,2750.0,2900,3099.5,2807.5,2800.0,2800,2705.0,2600.0,2500,2550.0,2640,2750.0,2800,2907,3000,2950.0,2900.0,2815.0,2700,2600,2600.0,2600.0,2600
13,Indiana,14,,,,,,,,,,,,,,875.0,900.0,950.0,925.0,850.0,847.0,850.0,800.0,800.0,800.0,800.0,850.0,850.0,850.0,800.0,799.0,790.0,800.0,825.0,825.0,820.0,800.0,765.0,775.0,775.0,800.0,845.0,875.0,875.0,900.0,895.0,900.0,900.0,875.0,925.0,900.0,895.0,895.0,900.0,975.0,950.0,950.0,995.0,995.0,975.0,950.0,950.0,950.0,975.0,1000.0,1045.0,1050.0,1025.0,995.0,950.0,925.0,900.0,900.0,895.0,900.0,932.0,985.0,1000.0,1045.0,1000.0,1050.0,995.0,950.0,950.0,995,977.5,950.0,1000.0,1008.0,1050.0,1070.0,1075.0,1095.0,1050.0,1050.0,1020.0,999.0,995,995.0,1000.0,1075,1100.0,1100.0,1100.0,1100,1075.0,1095.0,1050,1025.0,1000,1000.0,1000,1050,1100,1100.0,1100.0,1100.0,1125,1100,1100.0,1050.0,1045
14,Arizona,15,,,1425.0,1395.0,1350.0,1350.0,1300.0,1300.0,1275.0,1280.0,1275.0,1250.0,1195.0,1175.0,1175.0,1195.0,1195.0,1195.0,1150.0,1150.0,1100.0,1100.0,1095.0,1095.0,1100.0,1100.0,1100.0,1150.0,1150.0,1165.5,1150.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1125.0,1150.0,1150.0,1145.0,1100.0,1107.5,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1125.0,1195.0,1200.0,1199.0,1200.0,1195.0,1195.0,1195.0,1195.0,1199.0,1200.0,1250.0,1250.0,1259.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1275.0,1295.0,1297.0,1300.0,1295.0,1300.0,1295.0,1295.0,1264.0,1275.0,1295,1250.0,1295.0,1300.0,1350.0,1395.0,1400.0,1400.0,1400.0,1395.0,1395.0,1395.0,1385.0,1395,1395.0,1400.0,1450,1485.0,1495.0,1499.0,1500,1495.0,1475.0,1450,1495.0,1495,1499.0,1500,1550,1595,1600.0,1600.0,1600.0,1595,1595,1550.0,1549.0,1545
15,Tennessee,16,,,1050.0,1200.0,1300.0,1300.0,1296.0,1200.0,1250.0,1200.0,1200.0,1197.5,1000.0,995.0,1045.0,1100.0,1150.0,1175.0,1150.0,1150.0,1100.0,1100.0,1050.0,1050.0,1050.0,1050.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1050.0,1046.0,1000.0,995.0,975.0,975.0,995.0,995.0,975.0,1050.0,1050.0,1075.0,1050.0,1062.5,1050.0,1050.0,1050.0,1000.0,1025.0,1050.0,1100.0,1100.0,1095.0,1095.0,1095.0,1095.0,1095.0,1087.5,1095.0,1095.0,1097.0,1095.0,1099.0,1100.0,1125.0,1100.0,1100.0,1095.0,1100.0,1095.0,1100.0,1099.5,1100.0,1125.0,1175.0,1150.0,1200.0,1150.0,1155.0,1125.0,1195,1100.0,1150.0,1175.0,1199.0,1225.0,1250.0,1250.0,1250.0,1250.0,1275.0,1250.0,1250.0,1250,1270.0,1250.0,1250,1295.0,1300.0,1295.0,1300,1295.0,1295.0,1275,1295.0,1295,1250.0,1280,1300,1350,1379.0,1375.0,1395.0,1395,1350,1350.0,1350.0,1350
16,Missouri,17,,1200.0,1250.0,1100.0,1150.0,1100.0,1100.0,1150.0,1100.0,1000.0,1037.5,1000.0,850.0,875.0,900.0,975.0,995.0,950.0,900.0,925.0,900.0,900.0,895.0,887.5,950.0,895.0,900.0,900.0,900.0,900.0,900.0,895.0,895.0,852.5,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,860.0,850.0,865.0,850.0,850.0,850.0,850.0,875.0,895.0,900.0,900.0,895.0,875.0,875.0,850.0,875.0,850.0,864.5,850.0,875.0,900.0,895.0,895.0,880.0,875.0,865.0,850.0,850.0,875.0,895.0,900.0,925.0,925.0,950.0,950.0,900.0,900.0,900,950.0,900.0,900.0,900.0,900.0,925.0,950.0,950.0,950.0,950.0,950.0,950.0,925,925.0,925.0,950,975.0,975.0,995.0,995,1000.0,1000.0,1000,995.0,975,975.0,975,995,995,1000.0,1025.0,1022.0,1037,1025,1025.0,1000.0,1000
17,Maryland,18,,1692.5,1650.0,1650.0,1700.0,1750.0,1750.0,1750.0,1700.0,1700.0,1695.0,1695.0,1637.0,1600.0,1600.0,1650.0,1695.0,1700.0,1750.0,1750.0,1700.0,1687.5,1650.0,1650.0,1622.5,1600.0,1650.0,1500.0,1500.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1585.0,1600.0,1595.0,1600.0,1600.0,1650.0,1650.0,1700.0,1700.0,1699.0,1695.0,1650.0,1750.0,1695.0,1650.0,1650.0,1650.0,1750.0,1800.0,1800.0,1800.0,1750.0,1750.0,1725.0,1700.0,1750.0,1750.0,1750.0,1750.0,1795.0,1800.0,1800.0,1800.0,1750.0,1750.0,1745.0,1700.0,1700.0,1700.0,1700.0,1700.0,1750.0,1790.0,1800.0,1800.0,1700.0,1725.0,1700,1700.0,1699.0,1675.0,1700.0,1750.0,1775.0,1800.0,1800.0,1799.0,1750.0,1700.0,1700.0,1700,1700.0,1700.0,1700,1750.0,1800.0,1800.0,1800,1800.0,1750.0,1750,1750.0,1725,1700.0,1700,1700,1750,1800.0,1800.0,1800.0,1800,1799,1750.0,1750.0,1750
18,Wisconsin,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.0,1195.0,1190.0,1175.0,1200.0,1200.0,1195.0,1195.0,1199.0,1100.0,1100.0,1095.0,1100.0,1195.0,1195.0,1175.0,1200.0,1200.0,1200.0,1150.0,1100.0,1100.0,1100.0,1150.0,1175.0,1150.0,1200.0,1175.0,1150.0,1100.0,1100.0,1095.0,1100.0,1100.0,1100.0,1150.0,1145.0,1150.0,1050.0,1189.5,1100.0,1100.0,1100.0,1100,1092.5,1125.0,1200.0,1195.0,1200.0,1200.0,1200.0,1200.0,1160.0,1122.5,1175.0,1150.0,1140,1125.0,1147.5,1200,1200.0,1200.0,1175.0,1195,1150.0,1150.0,1200,1195.0,1190,1150.0,1200,1200,1200,1205.0,1200.0,1200.0,1195,1200,1200.0,1200.0,1200
19,Minnesota,20,,,,1595.0,1437.5,1600.0,1747.5,1700.0,1495.0,1400.0,1395.0,1455.0,1345.0,1350.0,1350.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1375.0,1350.0,1300.0,1300.0,1345.0,1300.0,1325.0,1350.0,1375.0,1350.0,1350.0,1395.0,1395.0,1350.0,1350.0,1325.0,1300.0,1350.0,1350.0,1395.0,1395.0,1375.0,1395.0,1395.0,1395.0,1400.0,1400.0,1400.0,1400.0,1399.5,1395.0,1400.0,1449.0,1445.0,1450.0,1425.0,1399.0,1400.0,1400.0,1395.0,1400.0,1400.0,1435.0,1450.0,1450.0,1475.0,1450.0,1450.0,1450.0,1450.0,1450.0,1475.0,1450.0,1477.5,1450.0,1482.5,1495.0,1495.0,1450.0,1450.0,1450.0,1475,1450.0,1495.0,1495.0,1495.0,1500.0,1500.0,1525.0,1525.0,1500.0,1500.0,1499.0,1500.0,1520,1500.0,1500.0,1550,1587.0,1595.0,1600.0,1600,1642.5,1625.0,1650,1675.0,1650,1600.0,1645,1600,1650,1650.0,1650.0,1625.0,1650,1625,1649.0,1650.0,1650
20,Colorado,21,,1972.5,1850.0,1695.0,1495.0,1395.0,1350.0,1350.0,1250.0,1250.0,1250.0,1300.0,1300.0,1295.0,1297.0,1350.0,1375.0,1300.0,1350.0,1300.0,1300.0,1299.0,1295.0,1250.0,1250.0,1295.0,1300.0,1350.0,1350.0,1350.0,1350.0,1350.0,1300.0,1300.0,1300.0,1295.0,1327.5,1325.0,1350.0,1395.0,1350.0,1350.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1395.0,1395.0,1400.0,1450.0,1475.0,1495.0,1495.0,1500.0,1500.0,1500.0,1500.0,1500.0,1595.0,1600.0,1689.0,1699.0,1700.0,1700.0,1750.0,1750.0,1750.0,1750.0,1750.0,1795.0,1795.0,1800.0,1795.0,1800.0,1800.0,1795.0,1800.0,1795.0,1795.0,1795,1750.0,1800.0,1850.0,1895.0,1900.0,1925.0,1950.0,1950.0,1900.0,1895.0,1895.0,1900.0,1900,1900.0,1950.0,1995,2000.0,2025.0,2000.0,2000,1999.0,1995.0,1960,1950.0,1995,1995.0,2000,2000,2095,2100.0,2100.0,2095.0,2095,2100,2100.0,2100.0,2100
21,Alabama,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.0,850.0,850.0,850.0,850.0,850.0,895.0,850.0,850.0,850.0,850.0,875.0,850.0,850.0,850.0,870.0,950.0,925.0,850.0,900.0,850.0,850.0,850.0,850.0,950.0,950.0,975.0,950.0,950.0,950.0,925.0,950.0,947.5,900.0,925.0,950.0,950.0,950.0,950.0,950.0,925.0,950.0,950.0,950.0,950.0,950.0,975.0,990.0,975.0,1000.0,1000.0,1000.0,950.0,995.0,995,950.0,995.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,995.0,995.0,995.0,995,975.0,985.0,1000,1000.0,1025.0,1050.0,1050,1000.0,1000.0,1000,1050.0,1035,1000.0,1000,1050,1095,1095.0,1095.0,1060.0,1049,1045,1050.0,1050.0,1050
22,South Carolina,23,,,1195.0,1200.0,1200.0,1250.0,1200.0,1200.0,1195.0,1150.0,1150.0,1100.0,1095.0,1095.0,1100.0,1150.0,1195.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1100.0,1150.0,1150.0,1125.0,1125.0,1125.0,1150.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1175.0,1195.0,1195.0,1200.0,1200.0,1195.0,1195.0,1175.0,1150.0,1150.0,1150.0,1200.0,1200.0,1200.0,1250.0,1200.0,1200.0,1200.0,1199.5,1200.0,1200.0,1200.0,1250.0,1250.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1250.0,1250.0,1275.0,1300.0,1250.0,1295.0,1250.0,1250.0,1250,1225.0,1250.0,1275.0,1295.0,1350.0,1350.0,1350.0,1325.0,1325.0,1350.0,1300.0,1325.0,1300,1310.0,1345.0,1350,1395.0,1399.0,1400.0,1400,1350.0,1350.0,1350,1350.0,1350,1350.0,1350,1395,1400,1400.0,1400.0,1400.0,1400,1375,1350.0,1350.0,1350
